ST,BT,AD,JS,Annual precipitation,Average annual temp range,Freezing index,Compressive strength,Elastic modulus,Density of concrete,Modulus of rupture,Tensile strength,Age,LC for 100 m length
10.2,6,1149,6.1,1347.5,16.39999962,25,7105.5,6850000,155.6499939,740.4,741.5,33,0.688524559
10.2,6,1183,6.1,1097.300049,16,57,7105.5,6850000,155.6499939,740.4,741.5,34,0.688524559
10.2,6,1219,6.1,1422,15.80000019,29,7105.5,6850000,155.6499939,740.4,741.5,35,0.655737705
10.2,6,1255,6.1,1472.800049,16.10000038,26,7105.5,6850000,155.6499939,740.4,741.5,36,0.754098345
10.2,6,1293,6.1,1594.400024,15.5,43,7105.5,6850000,155.6499939,740.4,741.5,37,0.754098345
10.2,6,1332,6.1,1749.099976,15.89999962,35,7105.5,6850000,155.6499939,740.4,741.5,38,0.754098345
10.2,6,1413,6.1,1180.199951,16.29999924,9,7105.5,6850000,155.6499939,740.4,741.5,40,0.721311491
11.2,4,1006,4.482352941,157.3000031,20,0,4691.428571,3541666.667,131.715386,706.25,439.2380952,8,0.984251969
11.2,4,214,4.482352941,183.6999969,19,0,4691.428571,3541666.667,131.715386,706.25,439.2380952,10,1.968503976
7.9,5.8,7674,4.482352941,152.1999969,22.10000038,0,4518.571429,5100000,143.2750015,680,433,6,4.527559118
7.9,5.8,8472,4.482352941,212.8000031,22.70000076,0,4518.571429,5100000,143.2750015,680,433,7,4.921259843
7.9,5.8,9353,4.482352941,157.6000061,22.5,0,4518.571429,5100000,143.2750015,680,433,8,21.06299253
7.9,5.8,10234,4.482352941,94.69999695,22.20000076,0,4518.571429,5100000,143.2750015,680,433,9,33.92388502
7.9,5.8,4304,4.482352941,226.6999969,23,0,4518.571429,5100000,143.2750015,680,433,10,46.45669085
7.9,5.8,4391,4.482352941,228.8000031,23.10000038,0,4518.571429,5100000,143.2750015,680,433,11,41.79790139
7.9,5.8,4574,4.482352941,229.8999939,23.20000076,0,4518.571429,5100000,143.2750015,680,433,15,62.53280915
7.9,5.8,4371,4.482352941,251.6999969,23.10000038,0,4518.571429,5100000,143.2750015,680,433,17,78.28083939
7.9,5.8,4513,4.482352941,113.5999985,22.89999962,0,4518.571429,5100000,143.2750015,680,433,18,85.43307137
